S,Time (tun 1),Time (run 2),Time (run 3),Time (run 4),Time (run 5),Average Time
54,4.422612799997296,4.309254200001305,4.288833599999634,4.901536099998339,4.736876700000721,4.531823
55,4.269765900000493,4.327463499997975,4.26499750000221,4.281332599999587,4.974462099999073,4.423604
56,4.275186200000462,4.274553999999625,4.27789969999867,4.3053483000003325,4.468248799999856,4.320247
57,4.286546100000123,4.357374600000185,4.273813200001314,4.274678499998117,4.772607200000493,4.393004
58,4.270462799999223,4.341943600000377,4.276560900001641,4.270964100000128,4.6070928999979515,4.353405
59,4.282574500000919,4.326908399998501,4.264850599996862,4.253064100001211,4.507054899997456,4.32689
60,4.2662133000012545,4.286922700001014,4.2992004999978235,4.27372860000105,4.646649199999956,4.354543
61,5.126772899999196,5.144948700002715,5.127352200001042,5.130402899998444,5.652444000003015,5.236384
62,5.147127600001113,5.170546299999842,5.200621799998771,5.161864300000161,5.7698519000005035,5.290002
63,6.110672399998293,5.180329199996777,5.148921500000142,5.168381900002714,5.505774100001872,5.422816
64,7.470837600001687,5.194508500000666,5.142788900000596,5.1792279000001145,5.702556399999594,5.737984
65,5.162773399999423,5.235447800001566,5.142571299998963,5.152267199999187,5.786791300000914,5.29597
66,5.189749499997561,5.193135800000164,5.104840100000729,5.224937200000568,5.845751799999562,5.311683
67,5.148711400001048,5.241972899999382,4.993199500000628,5.177712700002303,5.828552999999374,5.27803
68,5.158201800000825,5.223943799999688,4.969910300002084,5.180326399997284,5.426703599998291,5.191817
69,5.153743900002155,5.243926099999953,5.171091600001091,5.154492500001652,5.743456899999728,5.293342
70,5.196185100001458,5.319870799998171,5.167658300000767,5.14014859999952,5.840991299999587,5.332971
71,5.150961299998016,5.209542599997803,5.184013699999923,5.211296299999958,5.561186300001282,5.2634
72,5.153903599999467,5.2273368000023765,5.127858399999241,5.164295800001128,5.390028699999675,5.212685
73,5.137041499998304,5.216685999999754,5.154615900002682,5.121423500000674,5.562454800001433,5.238444
74,5.155812400000286,5.211768699999084,5.168662300002325,5.1937453000027745,5.3266779000005045,5.211333
75,5.160281299999042,5.247250899999926,5.221510499999567,5.17070590000003,5.332431200000428,5.226436
76,5.1428995999995095,5.200747399998363,5.157876299999771,5.160086500000034,5.349725100000796,5.202267
77,5.184232700001303,5.218296099999861,5.131334700003208,5.145605099998647,5.297164700001304,5.195327
78,5.156789099997695,5.191173900002468,5.186774799996783,4.992711999999301,5.2868668000010075,5.162863
79,5.078118800000084,5.210717999998451,5.163208699999814,5.035255400001915,5.332028199998604,5.163866
80,5.216745599998831,5.2689659999996366,5.154444700001477,5.149854200000846,5.455942500000674,5.249191
81,5.051463400002831,5.281765299998369,5.128529300000082,5.158956600000238,5.307698900000105,5.185683
82,5.387373300000036,5.220578899999964,5.1418916000002355,5.148194600002171,5.175061800000549,5.21462
83,5.35299600000144,5.20667919999687,5.156665200000134,5.133726399999432,5.197118000000046,5.209437
84,5.235093900002539,5.212191299997357,5.123385299997608,5.145861600001808,5.335087700001168,5.210324
85,5.539933000000019,5.202328800001851,5.254154500002187,5.167736999999761,5.32042089999959,5.296915
86,5.209935599999881,5.215708699997776,5.185881299999892,5.132316399998672,5.339187000001402,5.216606
87,5.184476099999301,5.222981200000504,5.201070799997979,5.147244600000704,5.374363200000516,5.226027
88,5.214253599999211,5.064144899999519,5.085290399998485,5.332155399999465,5.390151899999182,5.217199
89,5.282052399998065,5.154594699997688,5.004386099997646,5.171459900000627,5.346856000000116,5.19187
90,5.239770399999543,5.237334200002806,5.202923600001668,5.200468700000783,5.299323100000038,5.235964
91,5.240490199998021,5.204196700000466,5.148734800000966,5.1464797999979055,5.231971100001829,5.194375
92,5.317533500001446,5.197376299998723,5.175328500001342,5.084396500002185,5.288225899999816,5.212572
93,5.195820599998115,5.205286299998988,5.183603299999959,5.031219899999996,5.301597400000901,5.183505
94,5.2006736000003,5.277801400003227,5.148816100001568,5.131203400000231,5.347681399998692,5.221235
95,5.216833900001802,5.210685900001408,5.158195299998624,5.129891699998552,5.352737499997602,5.213669
96,5.207214199999726,5.19831669999985,5.169751299999916,5.194427700000233,5.448057800000242,5.243554
97,5.251986299997952,5.172535000001517,5.171976300000097,5.1550395999984175,5.437081299998681,5.237724
98,5.28643060000104,5.1928636000011466,5.149775800000498,3983.6246288,5.496136899997509,800.949967
99,5.226332400001411,5.2312438000008115,5.165366600002017,7.574564499998814,5.365691300001345,5.71264
100,5.234057699999539,5.1876351999999315,5.1632284999977855,5.674367999999959,5.403439800000342,5.332546
